year,revenue_krw,operating_profit_krw,net_income_krw,source,notes
2023,32765719000000,-7730300000000,-9137500000000,SK hynix FY2024 results release,Comparative figures shown in FY2024 earnings release
2024,66192960000000,23467300000000,19796900000000,SK hynix FY2024 results release,Consolidated annual highlights
